Naziv ustanove,Univerzitet,Nivo,Zvanje,Dužina trajanja programa (u god),Polje_skraceno,Vlasnistvo,Akreditaciona kvota,Broj studenata,Broj prijavljenih kandidata,Broj svršenih studenata tokom prethodne školske godine,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata na zavrsnoj godini
Filozofski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani pedagog,4,DH,Državni fakultet,50.0,252.0,60.0,34.0,59.0,47.0,42.0,104.0,0.0,0.0,168.0,84.0,0.0,104.0
Filozofski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani psiholog,4,DH,Državni fakultet,90.0,565.0,184.0,59.0,110.0,89.0,105.0,261.0,0.0,0.0,262.0,302.0,1.0,261.0
Filozofski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani sociolog,4,DH,Državni fakultet,50.0,246.0,31.0,24.0,73.0,27.0,29.0,117.0,0.0,0.0,90.0,156.0,0.0,117.0
Filozofski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani socijalni radnik,4,DH,Državni fakultet,50.0,127.0,83.0,0.0,52.0,53.0,22.0,0.0,0.0,0.0,90.0,37.0,0.0,0.0
Filozofski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani filozof,4,DH,Državni fakultet,30.0,106.0,23.0,11.0,33.0,18.0,7.0,48.0,0.0,0.0,47.0,59.0,0.0,48.0
Filozofski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani filolog,4,DH,Državni fakultet,260.0,1062.0,278.0,139.0,226.0,148.0,173.0,515.0,0.0,0.0,493.0,569.0,0.0,515.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani istoričar,4,DH,Državni fakultet,70.0,287.0,63.0,29.0,88.0,38.0,38.0,123.0,0.0,0.0,136.0,151.0,0.0,123.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani novinar/žurnalista,4,DH,Državni fakultet,70.0,328.0,94.0,44.0,72.0,59.0,66.0,131.0,0.0,0.0,220.0,108.0,0.0,131.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani pedagog,4,DH,Državni fakultet,75.0,355.0,90.0,76.0,79.0,66.0,65.0,145.0,0.0,0.0,210.0,145.0,0.0,145.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani psiholog,4,DH,Državni fakultet,80.0,386.0,280.0,69.0,89.0,83.0,73.0,141.0,0.0,0.0,255.0,130.0,1.0,141.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani sociolog,4,DH,Državni fakultet,55.0,204.0,31.0,35.0,59.0,33.0,34.0,78.0,0.0,0.0,94.0,110.0,0.0,78.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani socijalni radnik,4,DH,Državni fakultet,50.0,96.0,86.0,0.0,50.0,46.0,0.0,0.0,0.0,0.0,61.0,35.0,0.0,0.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filozof,4,DH,Državni fakultet,60.0,151.0,18.0,19.0,40.0,25.0,22.0,64.0,0.0,0.0,62.0,89.0,0.0,64.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog,4,DH,Državni fakultet,50.0,46.0,12.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,21.0,25.0,0.0,0.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog - anglista,4,DH,Državni fakultet,70.0,310.0,167.0,60.0,76.0,65.0,56.0,113.0,0.0,0.0,208.0,102.0,0.0,113.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog - germanista,4,DH,Državni fakultet,60.0,307.0,68.0,19.0,80.0,46.0,49.0,132.0,0.0,0.0,108.0,198.0,1.0,132.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog - romanista,4,DH,Državni fakultet,60.0,192.0,26.0,21.0,41.0,29.0,35.0,87.0,0.0,0.0,87.0,105.0,0.0,87.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog - rumunski jezik i književnost,4,DH,Državni fakultet,25.0,26.0,5.0,3.0,5.0,6.0,4.0,11.0,0.0,0.0,16.0,9.0,1.0,11.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog - rusinski jezik i književnost,4,DH,Državni fakultet,20.0,6.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,5.0,1.0,0.0,3.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog - slovački jezik i književnost,4,DH,Državni fakultet,30.0,20.0,4.0,1.0,4.0,5.0,4.0,7.0,0.0,0.0,17.0,3.0,0.0,7.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog - hungarolog,4,DH,Državni fakultet,25.0,68.0,11.0,11.0,13.0,13.0,12.0,30.0,0.0,0.0,49.0,19.0,0.0,30.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog komparatista,4,DH,Državni fakultet,20.0,84.0,13.0,18.0,14.0,17.0,19.0,34.0,0.0,0.0,59.0,25.0,0.0,34.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog slavista - ruski jezik i književnost,4,DH,Državni fakultet,50.0,151.0,25.0,19.0,35.0,28.0,27.0,61.0,0.0,0.0,91.0,57.0,3.0,61.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog srbista - srpska književnost i jezik,4,DH,Državni fakultet,85.0,320.0,52.0,51.0,57.0,51.0,57.0,155.0,0.0,0.0,173.0,147.0,0.0,155.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog srbista - srpski jezik i književnost,4,DH,Državni fakultet,60.0,225.0,33.0,44.0,52.0,32.0,42.0,99.0,0.0,0.0,142.0,83.0,0.0,99.0
Filozofski fakultet,Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani filolog srbista u odeljenjima za nacionalne manjine,4,DH,Državni fakultet,25.0,39.0,2.0,11.0,6.0,1.0,5.0,27.0,0.0,0.0,17.0,22.0,0.0,27.0
"Filozofski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani istoričar,4,DH,Državni fakultet,30.0,116.0,16.0,4.0,21.0,11.0,25.0,59.0,0.0,0.0,54.0,62.0,0.0,59.0
"Filozofski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani istoričar umetnosti,4,DH,Državni fakultet,20.0,27.0,7.0,1.0,9.0,4.0,5.0,9.0,0.0,0.0,20.0,7.0,0.0,9.0
"Filozofski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani pedagog,4,DH,Državni fakultet,50.0,186.0,25.0,20.0,21.0,34.0,40.0,91.0,0.0,0.0,82.0,104.0,0.0,91.0
"Filozofski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani profesor jezika i književnosti,4,DH,Državni fakultet,130.0,372.0,39.0,25.0,46.0,43.0,79.0,204.0,0.0,0.0,140.0,232.0,0.0,204.0
"Filozofski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani psiholog,4,DH,Državni fakultet,50.0,277.0,34.0,10.0,39.0,39.0,37.0,162.0,0.0,0.0,121.0,156.0,0.0,162.0
"Filozofski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani sociolog,4,DH,Državni fakultet,30.0,98.0,11.0,0.0,12.0,14.0,10.0,62.0,0.0,0.0,60.0,38.0,0.0,62.0
"Filozofski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani filozof,4,DH,Državni fakultet,20.0,29.0,3.0,0.0,4.0,4.0,6.0,15.0,0.0,0.0,22.0,7.0,0.0,15.0
Filološki fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani profesor jezika i književnosti,4,DH,Državni fakultet,1505.0,6554.0,1428.0,671.0,1251.0,1006.0,1041.0,3256.0,0.0,0.0,3203.0,3345.0,6.0,3256.0
Filološki fakultet,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani teoretičar umetnosti,4,DH,Državni fakultet,20.0,68.0,12.0,3.0,16.0,14.0,10.0,28.0,0.0,0.0,44.0,24.0,0.0,28.0
Filološki fakultet,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani filolog - anglista,4,DH,Državni fakultet,75.0,317.0,113.0,30.0,88.0,61.0,55.0,113.0,0.0,0.0,207.0,110.0,0.0,113.0
Filološki fakultet,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani filolog - germanista,4,DH,Državni fakultet,30.0,153.0,39.0,13.0,35.0,28.0,38.0,52.0,0.0,0.0,77.0,76.0,0.0,52.0
Filološki fakultet,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani filolog - romanista,4,DH,Državni fakultet,90.0,264.0,67.0,44.0,75.0,65.0,55.0,69.0,0.0,0.0,185.0,79.0,0.0,69.0
Filološki fakultet,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani filolog srbista - srpski jezik i književnost,4,DH,Državni fakultet,60.0,281.0,21.0,12.0,50.0,44.0,54.0,133.0,0.0,0.0,153.0,128.0,0.0,133.0
Hemijski fakultet,Univerzitet u Beogradu,Integr. akademske,Master profesor hemije,5,PM,Državni fakultet,25.0,50.0,6.0,16.0,13.0,5.0,7.0,16.0,9.0,0.0,23.0,27.0,0.0,9.0
Hemijski fakultet,Univerzitet u Beogradu,Osnovne akademske,Biohemičar,4,PM,Državni fakultet,0.0,81.0,0.0,25.0,0.0,7.0,25.0,49.0,0.0,0.0,34.0,47.0,0.0,49.0
Hemijski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani biohemičar,4,PM,Državni fakultet,50.0,239.0,63.0,28.0,71.0,53.0,45.0,70.0,0.0,0.0,142.0,95.0,2.0,70.0
Hemijski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani hemičar,4,PM,Državni fakultet,110.0,701.0,145.0,112.0,109.0,122.0,219.0,251.0,0.0,0.0,350.0,350.0,1.0,251.0
Šumarski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani inženjer šumarstva,4,TT,Državni fakultet,345.0,1746.0,284.0,147.0,373.0,331.0,283.0,759.0,0.0,0.0,805.0,940.0,1.0,759.0
Matematički fakultet,Univerzitet u Beogradu,Osnovne akademske,Astronom/Matematičar/Informatičar,4,PM,Državni fakultet,435.0,1957.0,915.0,125.0,688.0,392.0,366.0,511.0,0.0,0.0,835.0,1121.0,1.0,511.0
