Naziv ustanove,Univerzitet,Nivo,Zvanje,Dužina trajanja programa (u god),Polje_skraceno,Vlasnistvo,Akreditaciona kvota,Broj studenata,Broj prijavljenih kandidata,Broj svršenih studenata tokom prethodne školske godine,Studenti prva godina,Studenti druga godina,Studenti treća godina,Studenti četvrta godina,Studenti peta godina,Studenti šesta godina,Broj budžetskih studenata,Broj samofinansirajućih studenata,Broj stranih studenata,Broj studenata na zavrsnoj godini
Departman hemijsko-tehnološke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Diplomirani hemičar,4,TT,Državni fakultet,50.0,161.0,26.0,4.0,59.0,41.0,31.0,30.0,0.0,0.0,87.0,74.0,0.0,30.0
Departman hemijsko-tehnološke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Inženjer poljoprivrede,3,TT,Državni fakultet,30.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Departman hemijsko-tehnološke nauke,Državni Univerzitet u Novom Pazaru,Osnovne akademske,Inženjer tehnologije,3,TT,Državni fakultet,30.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ekonomski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani ekonomista,4,DH,Državni fakultet,900.0,6162.0,1183.0,759.0,1261.0,856.0,866.0,3179.0,0.0,0.0,2291.0,3869.0,2.0,3179.0
Ekonomski fakultet,Univerzitet u Beogradu,Osnovne akademske,Ekonomista,3,DH,Državni fakultet,600.0,497.0,1183.0,24.0,167.0,97.0,233.0,0.0,0.0,0.0,0.0,497.0,0.0,233.0
Ekonomski fakultet,Univerzitet u Kragujevcu,Osnovne akademske,Diplomirani ekonomista,4,DH,Državni fakultet,600.0,2125.0,290.0,272.0,306.0,299.0,350.0,1170.0,0.0,0.0,956.0,1168.0,1.0,1170.0
Ekonomski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani ekonomista,4,DH,Državni fakultet,700.0,2421.0,462.0,320.0,484.0,302.0,369.0,1266.0,0.0,0.0,1205.0,1216.0,0.0,1266.0
"Ekonomski fakultet, Kosovska Mitrovica",Univerzitet u Prištini,Osnovne akademske,Diplomirani ekonomista,4,DH,Državni fakultet,150.0,309.0,72.0,76.0,75.0,83.0,60.0,91.0,0.0,0.0,262.0,47.0,0.0,91.0
"Ekonomski fakultet, Subotica",Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani ekonomista,4,DH,Državni fakultet,1066.0,2770.0,499.0,553.0,534.0,378.0,499.0,1359.0,0.0,0.0,1535.0,1233.0,2.0,1359.0
"Ekonomski fakultet, Subotica",Univerzitet u Novom Sadu,Osnovne akademske,Diplomirani poslovni informatičar,4,DH,Državni fakultet,90.0,123.0,80.0,0.0,83.0,40.0,0.0,0.0,0.0,0.0,89.0,34.0,0.0,0.0
"Ekonomski fakultet, Subotica",Univerzitet u Novom Sadu,Osnovne akademske,Ekonomista,3,DH,Državni fakultet,0.0,9.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,8.0
Elektronski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani inženjer elektrotehnike i računarstva,4,TT,Državni fakultet,540.0,2278.0,663.0,172.0,792.0,423.0,308.0,755.0,0.0,0.0,1393.0,885.0,0.0,755.0
Elektrotehnički fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani inženjer elektrotehnike i računarstva,4,TT,Državni fakultet,540.0,2911.0,1209.0,358.0,967.0,715.0,616.0,613.0,0.0,0.0,1491.0,1419.0,1.0,613.0
Elektrotehnički fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirani inženjer softvera,4,TT,Državni fakultet,180.0,804.0,1209.0,71.0,231.0,217.0,151.0,205.0,0.0,0.0,125.0,673.0,6.0,205.0
Mašinski fakultet,Univerzitet u Beogradu,Osnovne akademske,Inženjer mašinstva,3,TT,Državni fakultet,780.0,2385.0,1138.0,378.0,773.0,640.0,972.0,0.0,0.0,0.0,1274.0,1092.0,19.0,972.0
Mašinski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani inženjer mašinstva,4,TT,Državni fakultet,240.0,665.0,208.0,24.0,212.0,106.0,120.0,227.0,0.0,0.0,364.0,301.0,0.0,227.0
Mašinski fakultet,Univerzitet u Nišu,Osnovne akademske,Diplomirani inženjer menadžmenta,4,TT,Državni fakultet,120.0,339.0,81.0,18.0,104.0,55.0,70.0,110.0,0.0,0.0,280.0,59.0,0.0,110.0
Medicinski fakultet,Univerzitet u Beogradu,Integr. akademske,Doktor medicine,6,MD,Državni fakultet,1280.0,4832.0,1375.0,548.0,1020.0,909.0,660.0,647.0,618.0,978.0,2805.0,1670.0,357.0,978.0
Medicinski fakultet,Univerzitet u Beogradu,Osnovne akademske,Diplomirana medicinska sestra,4,MD,Državni fakultet,48.0,50.0,7.0,6.0,6.0,9.0,11.0,24.0,0.0,0.0,0.0,50.0,0.0,24.0
Medicinski fakultet,Univerzitet u Nišu,Integr. akademske,Doktor medicine,6,MD,Državni fakultet,204.0,1532.0,390.0,220.0,257.0,213.0,249.0,200.0,206.0,407.0,1036.0,480.0,16.0,407.0
Medicinski fakultet,Univerzitet u Nišu,Integr. akademske,Doktor stomatologije,6,MD,Državni fakultet,72.0,497.0,164.0,53.0,91.0,92.0,85.0,59.0,170.0,0.0,248.0,243.0,6.0,0.0
Medicinski fakultet,Univerzitet u Nišu,Integr. akademske,Magistar farmacije,5,MD,Državni fakultet,72.0,430.0,119.0,51.0,75.0,106.0,60.0,74.0,115.0,0.0,251.0,177.0,2.0,115.0
Medicinski fakultet,Univerzitet u Novom Sadu,Integr. akademske,Doktor medicine,6,MD,Državni fakultet,564.0,2196.0,600.0,203.0,388.0,292.0,310.0,329.0,256.0,621.0,1162.0,853.0,181.0,621.0
