"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред"
"2350.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Текстилство и кожарство","Конфекцијски шивач (ученици са сметњама у развоју - лако ментално ометени у развоју)","3","Српски језик","1","0","1","5","3","0","5","0","1","0","1","5","1","5","0","0","1","0","1","5","2","0","5","0","0","0","0","0","0","0","0","0"
"2351.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Геодезија и грађевинарство","Архитектонски техничар - преведен оглед","4","Српски језик","1","0","0","28","6","0","0","0","2","0","0","58","7","0","0","0","2","0","0","49","4","0","0","0","0","0","0","0","0","0","0","0"
"2352.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Текстилство и кожарство","Модни кројач","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","4","0","0","0","0","0","0","0","0","0","0","0"
"2353.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Текстилство и кожарство","Техничар дизајна одеће","4","Српски језик","1","0","0","27","20","0","0","0","0","0","0","0","0","0","0","0","1","0","0","21","19","0","0","0","1","0","0","24","20","0","0","0"
"2354.","1658","Државно","Рашки управни округ","Нови Пазар - град","Школа за дизајн текстила и коже","Текстилство и кожарство","Моделар одеће - образовни профил изашао из огледа","4","Српски језик","1","0","0","28","24","0","0","0","1","0","0","23","18","0","0","0","2","0","0","46","39","0","0","0","1","0","0","26","24","0","0","0"
"2355.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Машинство и обрада метала","Машински техничар за компјутерско конструисање","4","Босански језик","1","0","0","16","1","0","0","0","1","0","0","20","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2356.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Електротехника","Електротехничар за термичке и расхладне уређаје","4","Босански језик","1","0","0","15","0","0","0","0","1","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2357.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Саобраћај","Техничар друмског саобраћаја","4","Босански језик","1","0","0","27","6","0","0","0","1","0","0","32","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2358.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Саобраћај","Возач моторних возила","3","Босански језик","1","0","0","28","3","0","0","0","1","0","0","28","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2359.","1659","Државно","Рашки управни округ","Нови Пазар - град","Техничка школа","Машинство и обрада метала","Машински техничар моторних возила","4","Босански језик","1","0","0","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
