"#","ИД установе","Власништво","Округ","Општина","Назив установе","Подручје рада","Образовни профил","Трајање образовања","Језик наставе","Број одељења - први разред","Број комбинованих одељења - први разред","Број специјалних одељења - први разред","Број ученика - први разред","Број девојчица - први разред","Број ИОП-а 1 - први разред","Број ИОП-а 2 - први разред","Број ИОП-а 3 - први разред","Број одељења - други разред","Број комбинованих одељења - други разред","Број специјалних одељења - други разред","Број ученика - други разред","Број девојчица - други разред","Број ИОП-а 1 - други разред","Број ИОП-а 2 - други разред","Број ИОП-а 3 - други разред","Број одељења - трећи разред","Број комбинованих одељења - трећи разред","Број специјалних одељења - трећи разред","Број ученика - трећи разред","Број девојчица - трећи разред","Број ИОП-а 1 - трећи разред","Број ИОП-а 2 - трећи разред","Број ИОП-а 3 - трећи разред","Број одељења - четврти разред","Број комбинованих одељења - четврти разред","Број специјалних одељења - четврти разред","Број ученика - четврти разред","Број девојчица - четврти разред","Број ИОП-а 1 - четврти разред","Број ИОП-а 2 - четврти разред","Број ИОП-а 3 - четврти разред"
"1834.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Електротехника","Електромонтер мрежа и постројења","3","Српски језик","1","1","0","15","1","0","0","0","1","1","0","8","0","0","0","0","1","1","0","12","0","0","0","0","0","0","0","0","0","0","0","0"
"1835.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Електротехника","Електромеханичар за машине и опрему","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"1836.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Електротехника","Аутоелектричар","3","Српски језик","1","1","0","16","0","0","1","0","1","0","0","23","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1837.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Електротехника","Електромеханичар за термичке и расхладне уређаје","3","Српски језик","1","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1838.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Саобраћај","Техничар друмског саобраћаја","4","Српски језик","1","0","0","30","13","0","0","0","1","0","0","31","18","0","0","0","1","0","0","30","13","0","0","0","1","0","0","32","17","0","0","0"
"1839.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Саобраћај","Возач моторних возила","3","Српски језик","1","0","0","30","5","0","0","0","1","0","0","31","5","0","0","0","1","0","0","28","4","0","0","0","0","0","0","0","0","0","0","0"
"1840.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Електротехника","Електротехничар процесног управљања","4","Српски језик","1","0","0","30","4","0","0","0","1","0","0","30","3","0","0","0","1","0","0","30","2","0","0","0","0","0","0","0","0","0","0","0"
"1841.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Саобраћај","Руковалац средствима унутрашњег транспорта","3","Српски језик","1","0","0","30","2","0","0","0","1","0","0","24","0","0","0","0","1","0","0","15","2","0","0","0","0","0","0","0","0","0","0","0"
"1842.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Машинство и обрада метала","Оператер машинске обраде","3","Српски језик","1","0","0","19","0","0","1","0","1","0","0","23","4","0","0","0","1","0","0","17","2","0","0","0","0","0","0","0","0","0","0","0"
"1843.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Машинство и обрада метала","Бравар - заваривач","3","Српски језик","1","0","0","16","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1844.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Геологија, рударство и металургија","Техничар за рециклажу - преведен оглед","4","Српски језик","1","0","0","29","14","0","1","0","0","0","0","0","0","0","0","0","1","0","0","28","14","0","0","0","1","0","0","26","12","0","0","0"
"1845.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Електротехника","Администратор рачунарских мрежа","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","29","5","0","1","0","1","0","0","31","8","0","0","0","1","0","0","21","3","0","1","0"
"1846.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Машинство и обрада метала","Бравар (ученици са сметњама у развоју - лако ментално ометени у развоју)","3","Српски језик","1","0","1","2","0","0","2","0","1","0","1","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1847.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Трговина, угоститељство и туризам","Припремач намирница (ученици са сметњама у развоју - лако ментално ометени у развоју","2","Српски језик","1","0","1","5","4","0","5","0","1","0","1","7","7","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1848.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Геологија, рударство и металургија","Оператер за прераду метала","3","Српски језик","0","0","0","0","0","0","0","0","1","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1849.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Електротехника","Електротехничар информационих технологија","4","Српски језик","1","0","0","30","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1850.","1592","Државно","Подунавски управни округ","Смедерево - град","Техничка школа","Машинство и обрада метала","Техничар за компјутерско управљање (CNC) машина","4","Српски језик","1","0","0","30","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1851.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Пољопривреда, производња и прерада хране","Пољопривредни техничар","4","Српски језик","1","0","0","25","11","0","0","0","1","0","0","28","14","0","0","0","1","0","0","28","7","0","0","0","1","0","0","32","5","0","0","0"
"1852.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Пољопривреда, производња и прерада хране","Ветеринарски техничар","4","Српски језик","1","0","0","27","21","0","0","0","1","0","0","24","13","0","0","0","1","0","0","27","14","0","0","0","0","0","0","0","0","0","0","0"
"1853.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Пољопривреда, производња и прерада хране","Прехрамбени техничар","4","Српски језик","1","0","0","27","22","0","0","0","1","0","0","28","16","0","0","0","1","0","0","19","12","1","0","0","1","0","0","21","15","0","0","0"
"1854.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Пољопривреда, производња и прерада хране","Месар","3","Српски језик","1","1","0","10","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","10","1","2","0","0","0","0","0","0","0","0","0","0"
"1855.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Пољопривреда, производња и прерада хране","Пекар","3","Српски језик","1","1","0","11","3","0","1","0","1","0","0","12","5","1","1","0","1","1","0","12","5","0","0","0","0","0","0","0","0","0","0","0"
"1856.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Пољопривреда, производња и прерада хране","Произвођач прехрамбених производа","3","Српски језик","0","0","0","0","0","0","0","0","1","0","0","22","19","1","0","0","1","0","0","22","18","1","1","0","0","0","0","0","0","0","0","0"
"1857.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Хемија, неметали и графичарство","Хемијско-технолошки техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","19","12","0","0","0"
"1858.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Хемија, неметали и графичарство","Техничар за заштиту животне средине","4","Српски језик","1","0","0","23","15","0","0","0","1","0","0","32","20","0","0","0","1","0","0","26","22","0","0","0","1","0","0","27","15","0","0","0"
"1859.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Текстилство и кожарство","Модни кројач","3","Српски језик","1","0","0","20","11","0","1","0","1","0","0","18","17","0","1","0","1","0","0","18","18","2","0","0","0","0","0","0","0","0","0","0"
"1860.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Текстилство и кожарство","Моделар одеће - образовни профил изашао из огледа","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","24","22","0","1","0"
"1861.","1593","Државно","Подунавски управни округ","Смедерево - град","Текстилно-технолошка и пољопривредна школа Деспот Ђурађ","Пољопривреда, производња и прерада хране","Оператер у прехрамбеној индустрији","3","Српски језик","1","0","0","29","13","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1862.","1595","Државно","Златиборски управни округ","Ариље","Средња школа Свети Ахилије","Машинство и обрада метала","Аутомеханичар","3","Српски језик","1","1","0","11","0","0","0","0","1","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1863.","1595","Државно","Златиборски управни округ","Ариље","Средња школа Свети Ахилије","Машинство и обрада метала","Механичар грејне и расхладне технике","3","Српски језик","1","1","0","7","0","0","0","0","1","1","0","8","0","0","0","0","1","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0"
"1864.","1595","Државно","Златиборски управни округ","Ариље","Средња школа Свети Ахилије","Електротехника","Електротехничар енергетике","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1865.","1595","Државно","Златиборски управни округ","Ариље","Средња школа Свети Ахилије","Економија, право и администрација","Економски техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","27","16","0","0","0","0","0","0","0","0","0","0","0"
"1866.","1595","Државно","Златиборски управни округ","Ариље","Средња школа Свети Ахилије","Гимназија","Општи тип гимназије","4","Српски језик","1","0","0","30","22","0","0","0","1","0","0","30","22","0","0","0","2","0","0","48","30","0","0","0","2","0","0","56","35","0","0","0"
"1867.","1595","Државно","Златиборски управни округ","Ариље","Средња школа Свети Ахилије","Економија, право и администрација","Финансијски администратор","4","Српски језик","1","0","0","30","18","0","0","0","1","0","0","27","19","0","0","0","0","0","0","0","0","0","0","0","1","0","0","27","18","1","0","0"
"1868.","1595","Државно","Златиборски управни округ","Ариље","Средња школа Свети Ахилије","Текстилство и кожарство","Моделар одеће - образовни профил изашао из огледа","4","Српски језик","1","0","0","19","8","0","1","0","1","0","0","18","10","0","0","0","1","0","0","27","18","0","2","0","1","0","0","15","7","0","0","0"
"1869.","1595","Државно","Златиборски управни округ","Ариље","Средња школа Свети Ахилије","Електротехника","Електротехничар енергетике (Нови ППНУ од 2018/19)","4","Српски језик","1","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1870.","1596","Државно","Златиборски управни округ","Бајина Башта","Гимназија Јосиф Панчић","Гимназија","Природно - математички смер","4","Српски језик","1","0","0","30","21","0","0","0","1","0","0","30","16","0","0","0","1","0","0","30","14","0","0","0","1","0","0","27","13","0","0","0"
"1871.","1596","Државно","Златиборски управни округ","Бајина Башта","Гимназија Јосиф Панчић","Гимназија","Друштвено - језички смер гимназије","4","Српски језик","2","0","0","60","34","0","0","0","2","0","0","60","35","0","0","0","2","0","0","59","33","0","0","0","2","0","0","55","35","0","0","0"
"1872.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Машинство и обрада метала","Машински техничар за компјутерско конструисање","4","Српски језик","1","0","0","30","10","0","0","0","1","0","0","29","10","0","0","0","1","0","0","20","0","0","0","0","1","0","0","20","0","0","0","0"
"1873.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Машинство и обрада метала","Аутомеханичар","3","Српски језик","1","1","0","11","0","0","0","0","1","1","0","11","0","0","0","0","1","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0"
"1874.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Машинство и обрада метала","Механичар грејне и расхладне технике","3","Српски језик","1","1","0","9","6","0","0","0","1","1","0","11","0","0","0","0","1","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0"
"1875.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Електротехника","Електроинсталатер","3","Српски језик","1","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0"
"1876.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Електротехника","Електромонтер мрежа и постројења","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0"
"1877.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Трговина, угоститељство и туризам","Трговински техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","20","15","0","0","0","1","0","0","29","20","0","0","0"
"1878.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Трговина, угоститељство и туризам","Кувар","3","Српски језик","0","0","0","0","0","0","0","0","1","0","0","21","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1879.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Економија, право и администрација","Економски техничар","4","Српски језик","1","0","0","30","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1880.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Трговина, угоститељство и туризам","Туристички техничар","4","Српски језик","1","0","0","30","18","0","0","0","0","0","0","0","0","0","0","0","1","0","0","29","17","0","0","0","1","0","0","28","20","0","0","0"
"1881.","1597","Државно","Златиборски управни округ","Бајина Башта","Техничка школа","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар","4","Српски језик","1","0","0","31","20","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1882.","1598","Државно","Златиборски управни округ","Косјерић","Техничка школа","Електротехника","Електротехничар рачунара","4","Српски језик","1","0","0","31","3","0","0","0","1","0","0","30","4","0","0","0","1","0","0","27","5","0","1","0","1","0","0","22","3","0","1","0"
"1883.","1598","Државно","Златиборски управни округ","Косјерић","Техничка школа","Трговина, угоститељство и туризам","Трговац","3","Српски језик","1","0","0","14","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1884.","1598","Државно","Златиборски управни округ","Косјерић","Техничка школа","Економија, право и администрација","Економски техничар","4","Српски језик","1","0","0","30","24","0","0","0","1","0","0","29","23","0","1","0","1","0","0","25","17","0","0","0","1","0","0","23","23","0","0","0"
"1885.","1601","Државно","Златиборски управни округ","Пожега","Гимназија Свети Сава","Гимназија","Природно - математички смер","4","Српски језик","1","0","0","30","20","0","0","0","1","0","0","27","17","0","0","0","1","0","0","31","21","0","0","0","1","0","0","31","21","0","0","0"
"1886.","1601","Државно","Златиборски управни округ","Пожега","Гимназија Свети Сава","Гимназија","Друштвено - језички смер гимназије","4","Српски језик","2","0","0","60","48","0","0","0","2","0","0","63","36","2","0","0","2","0","0","61","43","1","0","0","2","0","0","66","47","0","0","0"
"1887.","1601","Државно","Златиборски управни округ","Пожега","Гимназија Свети Сава","Гимназија","Обдарени ученици у рачунарској гимназији","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","20","7","0","0","0","1","0","0","16","5","0","0","0"
"1888.","1601","Државно","Златиборски управни округ","Пожега","Гимназија Свети Сава","Гимназија","Ученици са посебним способностима за рачунарство и информатику","4","Српски језик","1","0","0","20","6","0","0","0","1","0","0","18","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1889.","1602","Државно","Златиборски управни округ","Пожега","Пољопривредна школа са домом ученика Љубо Мићић","Пољопривреда, производња и прерада хране","Ветеринарски техничар","4","Српски језик","1","0","0","30","12","0","0","0","1","0","0","27","12","0","0","0","1","0","0","29","6","0","0","0","1","0","0","29","5","0","0","0"
"1890.","1602","Државно","Златиборски управни округ","Пожега","Пољопривредна школа са домом ученика Љубо Мићић","Пољопривреда, производња и прерада хране","Цвећар - вртлар","3","Српски језик","1","1","0","13","12","0","1","0","0","0","0","0","0","0","0","0","1","1","0","3","2","1","0","0","0","0","0","0","0","0","0","0"
"1891.","1602","Државно","Златиборски управни округ","Пожега","Пољопривредна школа са домом ученика Љубо Мићић","Пољопривреда, производња и прерада хране","Руковалац - механичар пољопривредне технике","3","Српски језик","1","1","0","12","0","0","0","0","1","0","0","12","0","0","0","0","1","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0"
"1892.","1602","Државно","Златиборски управни округ","Пожега","Пољопривредна школа са домом ученика Љубо Мићић","Пољопривреда, производња и прерада хране","Месар","3","Српски језик","1","1","0","6","0","0","0","0","1","1","0","7","2","0","0","0","1","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0"
"1893.","1602","Државно","Златиборски управни округ","Пожега","Пољопривредна школа са домом ученика Љубо Мићић","Пољопривреда, производња и прерада хране","Пекар","3","Српски језик","1","1","0","12","7","0","1","0","1","1","0","15","8","2","0","0","1","1","0","9","6","0","1","0","0","0","0","0","0","0","0","0"
"1894.","1602","Државно","Златиборски управни округ","Пожега","Пољопривредна школа са домом ученика Љубо Мићић","Пољопривреда, производња и прерада хране","Произвођач прехрамбених производа","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"1895.","1602","Државно","Златиборски управни округ","Пожега","Пољопривредна школа са домом ученика Љубо Мићић","Пољопривреда, производња и прерада хране","Пољопривредни техничар","4","Српски језик","1","0","0","28","15","0","0","0","1","0","0","20","8","0","0","0","1","0","0","19","8","0","0","0","1","0","0","26","5","0","0","0"
"1896.","1602","Државно","Златиборски управни округ","Пожега","Пољопривредна школа са домом ученика Љубо Мићић","Пољопривреда, производња и прерада хране","Оператер у прехрамбеној индустрији","3","Српски језик","1","0","0","17","15","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1897.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Машинство и обрада метала","Техничар за компјутерско управљање","4","Српски језик","1","0","0","30","8","0","0","0","1","0","0","29","7","1","0","0","1","0","0","23","5","0","0","0","1","0","0","27","4","0","0","0"
"1898.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Машинство и обрада метала","Бравар","3","Српски језик","0","0","0","0","0","0","0","0","1","0","0","12","0","0","0","0","1","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0"
"1899.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Машинство и обрада метала","Аутомеханичар","3","Српски језик","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","0","1","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0"
"1900.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Трговина, угоститељство и туризам","Трговински техничар","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","21","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1901.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Трговина, угоститељство и туризам","Туристички техничар","4","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","32","24","0","0","0","0","0","0","0","0","0","0","0"
"1902.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Трговина, угоститељство и туризам","Трговац","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","5","0","0","0","0","0","0","0","0","0","0","0"
"1903.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Електротехника","Техничар мехатронике","4","Српски језик","1","0","0","30","2","0","0","0","1","0","0","27","1","0","0","0","1","0","0","30","3","0","0","0","1","0","0","27","1","0","0","0"
"1904.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Машинство и обрада метала","Бравар - заваривач","3","Српски језик","1","1","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1905.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Трговина, угоститељство и туризам","Туристички техничар","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","29","19","0","0","0","0","0","0","0","0","0","0","0","1","0","0","32","19","0","2","0"
"1906.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Економија, право и администрација","Комерцијалиста","4","Српски језик","1","0","0","30","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1907.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Машинство и обрада метала","Механичар моторних возила","3","Српски језик","1","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1908.","1603","Државно","Златиборски управни округ","Пожега","Техничка школа","Трговина, угоститељство и туризам","Туристичко-хотелијерски техничар","4","Српски језик","1","0","0","30","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1909.","1604","Државно","Златиборски управни округ","Прибој","Гимназија Прибој","Гимназија","Природно - математички смер","4","Српски језик","2","0","0","60","36","0","0","0","2","0","0","59","35","0","0","0","2","0","0","48","27","0","0","0","2","0","0","57","31","0","0","0"
"1910.","1604","Државно","Златиборски управни округ","Прибој","Гимназија Прибој","Гимназија","Друштвено - језички смер гимназије","4","Српски језик","1","0","0","31","24","0","0","0","1","0","0","28","21","0","0","0","1","0","0","25","15","0","0","0","1","0","0","30","16","0","0","0"
"1911.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Машинство и обрада метала","Техничар за компјутерско управљање","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","29","12","0","0","0","1","0","0","24","11","0","0","0","1","0","0","24","11","0","0","0"
"1912.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Машинство и обрада метала","Металостругар","3","Српски језик","0","0","0","0","0","0","0","0","1","1","0","14","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1913.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Машинство и обрада метала","Механичар грејне и расхладне технике","3","Српски језик","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0"
"1914.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Машинство и обрада метала","Металоглодач нумерички управљаних машина","3","Српски језик","0","0","0","0","0","0","0","0","1","1","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1915.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Електротехника","Електротехничар енергетике","4","Српски језик","0","0","0","0","0","0","0","0","1","0","0","27","3","0","0","0","1","0","0","25","1","0","0","0","0","0","0","0","0","0","0","0"
"1916.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Електротехника","Електротехничар рачунара","4","Српски језик","1","0","0","32","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","29","6","0","0","0"
"1917.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Електротехника","Електроинсталатер","3","Српски језик","1","1","0","13","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1918.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Електротехника","Електромеханичар за термичке и расхладне уређаје","3","Српски језик","1","1","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1919.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Економија, право и администрација","Економски техничар","4","Српски језик","1","0","0","32","22","0","0","0","1","0","0","28","24","0","0","0","1","0","0","31","25","0","0","0","1","0","0","29","20","0","0","0"
"1920.","1605","Државно","Златиборски управни округ","Прибој","Машинско-електротехничка школа","Машинство и обрада метала","Техничар за компјутерско управљање (CNC) машина","4","Српски језик","1","0","0","32","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1921.","1606","Државно","Златиборски управни округ","Пријепоље","Пријепољска гимназија","Гимназија","Природно - математички смер","4","Српски језик","1","0","0","23","16","0","0","0","1","0","0","27","14","0","0","0","1","0","0","30","13","0","0","0","1","0","0","30","14","0","0","0"
"1922.","1606","Државно","Златиборски управни округ","Пријепоље","Пријепољска гимназија","Гимназија","Друштвено - језички смер гимназије","4","Српски језик","2","0","0","44","31","0","0","0","2","0","0","57","34","0","0","0","2","0","0","48","25","0","0","0","2","0","0","57","40","0","0","0"
"1923.","1606","Државно","Златиборски управни округ","Пријепоље","Пријепољска гимназија","Гимназија","Ученици са посебним способностима за рачунарство и информатику","4","Српски језик","1","0","0","16","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1924.","1607","Државно","Златиборски управни округ","Пријепоље","Економско-трговинска школа","Трговина, угоститељство и туризам","Трговински техничар","4","Српски језик","1","0","0","30","16","0","0","0","1","0","0","31","21","0","0","0","1","0","0","30","21","0","0","0","1","0","0","28","20","0","0","0"
"1925.","1607","Државно","Златиборски управни округ","Пријепоље","Економско-трговинска школа","Трговина, угоститељство и туризам","Конобар","3","Српски језик","1","1","0","13","2","0","0","0","1","1","0","10","1","0","0","0","1","1","0","11","1","0","0","0","0","0","0","0","0","0","0","0"
"1926.","1607","Државно","Златиборски управни округ","Пријепоље","Економско-трговинска школа","Трговина, угоститељство и туризам","Кувар","3","Српски језик","1","1","0","9","4","0","2","0","1","1","0","13","3","0","0","0","1","1","0","16","8","1","0","0","0","0","0","0","0","0","0","0"
"1927.","1607","Државно","Златиборски управни округ","Пријепоље","Економско-трговинска школа","Економија, право и администрација","Економски техничар","4","Српски језик","1","0","0","30","18","0","0","0","1","0","0","30","22","0","0","0","1","0","0","30","18","0","0","0","1","0","0","31","18","0","0","0"
"1928.","1607","Државно","Златиборски управни округ","Пријепоље","Економско-трговинска школа","Економија, право и администрација","Финансијски администратор","4","Српски језик","1","0","0","30","15","0","0","0","1","0","0","30","22","0","0","0","1","0","0","30","23","0","0","0","1","0","0","31","20","0","0","0"
"1929.","1608","Државно","Златиборски управни округ","Пријепоље","Техничка школа","Машинство и обрада метала","Машински техничар за компјутерско конструисање","4","Српски језик","1","0","0","28","6","0","0","0","1","0","0","23","7","0","0","0","1","0","0","26","8","0","0","0","1","0","0","21","8","0","0","0"
"1930.","1608","Државно","Златиборски управни округ","Пријепоље","Техничка школа","Машинство и обрада метала","Аутолимар","3","Српски језик","1","1","0","15","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
